Level,Recommendations,Course,Area,Level 
2,instructional material must duly approve sign instructional material review committee concerned authority instruction,Accountancy,Area3,
2,syllabus indicate year publication textbook reference material textbook reference material recent edition publication,Accountancy,Area3,
2,correctly indicate syllabus total number contact hour require per subject per semester,Accountancy,Area3,
2,uniform number cod subject curriculum apply although university policy cod subject uniformity still observe single digit digit digit cod subject gec professional course,Accountancy,Area3,
2,regular attendance faculty member seminar conference order upgrade competency source fund tapped university fund not_available,Accountancy,Area3,
2,faculty member make teachinglearning experience classroom interest varied teach strategy methodology power point presentation overhead projector game roleplay etc,Accountancy,Area3,
3,preparation additional instructional material major accounting subject suggest greatly help make teachinglearning activity meaningful,Accountancy,Area3,
3,revision enrichment syllabus major accounting subject per ched regulatory body standard,Accountancy,Area3,
3,provision additional funding attendance faculty member national international conference suggest effective delivery instruction,Accountancy,Area3,
2,research student need employability demand analysis graduate effectiveness implementation student activity encourage,Accountancy,Area4,
2,active alumnus association imperative hence shall strengthen,Accountancy,Area4,
2,responsive guidance service accreditedlicensed guidance counselor hire serve student,Accountancy,Area4,
2,budget student development review allow great flexibility render student service conduct student activity,Accountancy,Area4,
2,linkage industry government private entity shall strengthen order identify employment opportunity graduate,Accountancy,Area4,
2,since result feedback base improve student service regular monitoring evaluation activity shall continuously conduct,Accountancy,Area4,
3,hire additional guidance counsellor cater fully need student consider,Accountancy,Area4,
3,proper guideline exist salary grade license guidance counsellor per ched civil service commission standard follow,Accountancy,Area4,
3,best practice provision sanitary canteen per ched standard observe,Accountancy,Area4,
3,periodic monitoring evaluation dormitory boarding house safeguard welfare student,Accountancy,Area4,
3,best practice provision dormitory per ched standard observe,Accountancy,Area4,
2,consultation agency student formulation revision research agenda encourage,Accountancy,Area5,
2,honorarium service credit deloading faculty research,Accountancy,Area5,
2,faculty encourage publish book make handbook specialization,Accountancy,Area5,
3,research unit cbea prepare comprehensive wellplanned research program research agenda formulate basis thrust university funding agency provide direction research thrust program conversely importance participation stakeholder beneficiary formulation research agenda encourage properly document,Accountancy,Area5,
3,college spearhead extensive seminarworkshops action research faculty member student enhance capability knowledge skill conduct research eventually appreciation importance research motivate engage research related activity give opportunity receive award citation recognition,Accountancy,Area5,
3,collaborative research among faculty member student essential hence faculty member student take initiative engage collaborative research pursuit present research directorate possible funding also interfacing research extension observe implement,Accountancy,Area5,
3,creation partnership networkinglinkages apart research directorate academic high education institution end view provide access instructional material journal prioritize likewise consider outsource national international linkage via e communication collaborative effort faculty member alumnus connection respective workplacesorganizations linkage however document establish correspond memorandum agreement,Accountancy,Area5,
3,need publication cbea research manual base university research manual focus priority thrust program explicitly cite manual privilege incentive faculty researcher receive separate research budget college request research directorate,Accountancy,Area5,
3,regular inhouse review complete ongoing studiesprojects accountancy conduct student faculty member present research award give best presenter best paper financial incentive however give presenter,Accountancy,Area5,
3,college publish separate research journal faculty member student least year showcase disseminate complete research however paper present inhouse review include journal,Accountancy,Area5,
3,faculty member conduct research within area specialization research undertaking contribute significantly development institution instructional enhancement great significance target clientele,Accountancy,Area5,
3,faculty member encourage respond call paper possible international presentation publication refereed journal incentive however provide faculty member take initiative without necessarily inform research directorate submit paper presentation publication,Accountancy,Area5,
3,projectsresearch study student part course requirement place resource room exhibit show student creative innovative skill,Accountancy,Area5,
3,research database construct exclusively college easy access research endeavor accomplishment faculty member student,Accountancy,Area5,
3,university continuously apply patent license research project,Accountancy,Area5,
3,support document every item systematically arrange neatly package lastly recommendation last accreditation visit strictly comply,Accountancy,Area5,
2,periodic report quarterly report monitor status project identify problem encounter clientele,Accountancy,Area6,
2,problem encounter feedback discuss concerned group,Accountancy,Area6,
2,suggest support staff assign college perform job could hardly_be faculty monitoring project especially farflung barangays,Accountancy,Area6,
3,extension unit cbea prepare comprehensive wellplanned extension program extension agenda formulate basis thrust university fundingpartner agency provide direction extension thrust program conversely importance participation stakeholderspartners formulation extension agenda design realize properly document,Accountancy,Area6,
3,although faculty member involve extension service attend training spearhead various partner agency proper documentation give importance likewise facultytrainers prepare module result evaluation training conduct analyze utilized benchmark data possible research extension pursuit,Accountancy,Area6,
3,extension program exclusive college specifically program survey give priority essential however extension program service formalize memorandum agreement state among others responsibility party extent service provide proper monitoring evaluation program activity strictly observe,Accountancy,Area6,
3,interfacing research extension encourage hence research output student requirement subject baseline data possible extension program activity target clientele research also collaborative effort student faculty member nevertheless research output consider extension program accepted implement clientele partner agency,Accountancy,Area6,
3,creation partnership networkinglinkages academic high education institution potential partner agency end view provide exchangingaccessing manual journal good extension practice prioritize likewise consider outsource national international linkage via ecommunications collaborative effort faculty member alumnus connection respective workplacesorganizations linkage however document establish correspond memorandum agreement,Accountancy,Area6,
3,need publication cbea extension manual base university extension manual focus priority thrust program explicitly cite manual privilege incentive faculty member receive separate extension budget college request extension directorate,Accountancy,Area6,
3,college publish newsletter least year disseminate extension effort activity faculty member student,Accountancy,Area6,
3,extension database construct exclusively college easy access extension initiative accomplishment faculty member student,Accountancy,Area6,
3,impact study extension program college conduct determine contribution program enhancement socio economic status client,Accountancy,Area6,
3,support document every item systematically arrange neatly package lastly recommendation last accreditation visit strictly comply,Accountancy,Area6,
2,big library budget allocation provide carryout recommendation accreditor next level accreditation,Accountancy,Area7,
2,staff development program not_be limited trainingseminar extend scholarship educational tour exchange librarian program local national international,Accountancy,Area7,
2,library automation integrate library system give priority library budget,Accountancy,Area7,
2,universitychief librarian conduct actionapplied research improvement library service,Accountancy,Area7,
2,subscription journal per curriculum program give priority,Accountancy,Area7,
2,acquisition print nonprint information file others update,Accountancy,Area7,
2,card catalog periodical index information file others update,Accountancy,Area7,
2,reading center information material classify catalogue,Accountancy,Area7,
2,thesesdissertations nonprint material classify catalogue,Accountancy,Area7,
2,library board committee functional perform duty,Accountancy,Area7,
2,library manual cover library internal administration operational activity,Accountancy,Area7,
2,library development plan indicate systematic continuous program include modern trend field librarianship,Accountancy,Area7,
2,strategy look motivate student main library full rich information resource print nonprint useful study research,Accountancy,Area7,
3,core collection current edition book material continuously enhance,Accountancy,Area7,
3,number volume collection per curricular need conform standard set forth academic program increase,Accountancy,Area7,
3,library integrate system generates necessary service facilitates organization resource consider,Accountancy,Area7,
3,administration consider instal security monitoring system cctv door detector concave mirror,Accountancy,Area7,
3,additional airconditioning unit instal reading area library make place conducive learn,Accountancy,Area7,
2,install permanent site plan depict location different building driveway parking area etc preferably within main gate,Accountancy,Area8,
2,implementation waste management program must strictly give emphasis segregation must start classroom thus thrash beam must available,Accountancy,Area8,
2,certificate occupancy newly construct building post conspicuous place,Accountancy,Area8,
2,need look spacious place accreditation center,Accountancy,Area8,
2,decorate classroom make please,Accountancy,Area8,
2,equipment television radio component board game others kept student center easy access student instead keep office student council,Accountancy,Area8,
2,renewal sanitary permit must give priority,Accountancy,Area8,
2,consider possibility opening another service door classroom,Accountancy,Area8,
2,electrical wiring damagedbroken especially corridor must prioritize rehabilitation,Accountancy,Area8,
3,building floor plan displayed post conspicuous place building,Accountancy,Area8,
3,signage entry exit first floor second floor building make available visible,Accountancy,Area8,
3,fire extinguisher mount accessible building firefighting equipment fire hose make available building college,Accountancy,Area8,
3,pest control inspection periodically,Accountancy,Area8,
3,trash bin available corridor classroom antilittering campaign implement maintain cleanliness classroom surroundings,Accountancy,Area8,
3,pathway intend person disability pwd railing,Accountancy,Area8,
3,student give responsibility maintenance beautification classroom,Accountancy,Area8,
3,lounge faculty room make available,Accountancy,Area8,
2,consider possibility exit door,Accountancy,Area9,
2,additional unit ohplcd projector make presentation lecture learn activity,Accountancy,Area9,
2,improve audiovisual center college highly recommend benefit student,Accountancy,Area9,
3,college consider provide two exit door open outward especially center propose new itc building complete,Accountancy,Area9,
3,college follow proper mount fire extinguisher per bureau fire standard,Accountancy,Area9,
3,wide dissemination possible mean vision mission university goal objective college print mass medium regularly consider order increase level awareness clientele particularly college,Biology,Area1,
3,regular research level awareness vision mission university together goal objective college curricular program foster realization,Biology,Area1,
4,poster program survey improve enlarge print color combination aesthetic value beauty,Biology,Area1,
4,replacement old fade billboard recommend,Biology,Area1,
4,review update keep attune vision mission university,Biology,Area1,
3,document make available last five year ea performance rating various administrative personnel,Biology,Area10,
3,late survey instrument evaluation ease burden work time,Biology,Area10,
3,document kept make available area arrange compile properly,Biology,Area10,
3,student handbook approve bor,Biology,Area10,
3,student directory alumnus directory uptodate tracer study make effect,Biology,Area10,
4,function library student administration academy related office suppose vpaa indicate newly approve original structure reflect operation manual,Biology,Area10,
4,program survey ensure follow document place compliance report document previous accreditation survey visit b memorandum agreement mou linkage c faculty development program college monitoring evaluation program activity project,Biology,Area10,
4,enhance participation stakeholder budgeting planning process,Biology,Area10,
4,consider inclusion operation manual employee personnel benefit privilege single parent b leave benefit woman c rehabilitation leave benefit,Biology,Area10,
4,consider devise totalinstrument monitor evaluate plan program activity project,Biology,Area10,
3,faculty biology mathematics involve research extension activity,Biology,Area2,
3,one hundred percent biology mathematics professor developed instructional material workbook module etc instructional material prepared beautifully,Biology,Area2,
3,member accreditation task force check carefully survey instrument previous present evaluation avoid inconsistency,Biology,Area2,
3,system filing document alright still room improvement,Biology,Area2,
3,document every area properly sign concerned signatory,Biology,Area2,
3,faculty biology mathematics become member least one scientific organization honor society,Biology,Area2,
4,compliance recommendation phase ii level iii selfsurvey highly recommend,Biology,Area2,
4,provision sufficient document per indicator parameter suggest,Biology,Area2,
4,unnecessary document weed relevant accurate timely complete document include appropriate file folder support different benchmark statement instrument,Biology,Area2,
4,proper ear tag provide file folder facilitate evaluation document,Biology,Area2,
4,review individual class schedule remove straight whole day especially science class,Biology,Area2,
4,number student per class stipulate cmo requirement observe,Biology,Area2,
4,review improve staff development plan include retirement program manpower maintenance prominent scheme,Biology,Area2,
4,specify budget manpower development,Biology,Area2,
4,encourage faculty research extension activity sustainable r program,Biology,Area2,
4,design sustainable gad program ca,Biology,Area2,
3,involve student parent alumnus stakeholder future revision curriculum,Biology,Area3,
3,improve preparation syllabus reference recent edition least series b objective always behavioral c comprehensive contain specific course requirementsactivities course policy observe one format complete entry,Biology,Area3,
3,course syllabus examination sign professor review approve official concerned,Biology,Area3,
3,classroom instruction enrich far varied teach strategy,Biology,Area3,
3,syllabus arrange ge major subject etc,Biology,Area3,
3,project report term paper student output properly grade,Biology,Area3,
3,official document properly sign,Biology,Area3,
3,regular monitoring student performance employability conduct,Biology,Area3,
3,college adopt uniform grade system common course try departmental examination ensure every topic discuss faculty member handle course,Biology,Area3,
3,refrain copying laboratory exercise exactly publish material,Biology,Area3,
4,administration allocate fund training scholarship abroad,Biology,Area3,
4,encourage bio faculty produce instructional material field specialization,Biology,Area3,
4,suggest instructional material produce copyright patent,Biology,Area3,
4,package document need conform aaccup standard make accreditorfriendly,Biology,Area3,
4,encourage bio faculty become member honor society scientific organization,Biology,Area3,
4,motivate faculty present paper not_only locally also internationally,Biology,Area3,
3,review fill system document base new instrument aaccup,Biology,Area4,
3,conduct separate orientation parent,Biology,Area4,
3,monitor student activity provide evaluation form participant discus result meeting,Biology,Area4,
3,devise guidance manual truly address need student,Biology,Area4,
3,clear plan action placement office ensure assistance among clientele,Biology,Area4,
3,establish newsletter serve medium activity college dissemination research finding,Biology,Area4,
3,establish committee oversee boarding house dormitory,Biology,Area4,
4,student service unit look organize coordinate university cooperative let mmsu student come associate member,Biology,Area4,
4,full time license guidance counselor would help facilitate efficient delivery service client,Biology,Area4,
4,specific provision ra right privilege disabled person include student handbook,Biology,Area4,
4,presentation publication student affair service research national international level aside institutional level highly encourage,Biology,Area4,
4,document gather compile checked relevancy accuracy timeliness completeness submit accreditation,Biology,Area4,
4,mmsu dormitory repair improve provide need facility create healthy home atmosphere occupant,Biology,Area4,
4,recommend result different test administer guidance counselor properly utilized come relevant intervention activity address need student,Biology,Area4,
4,inclusion gender disability sensitivity rule student handbookmanual maybe consider facilitate understand dissemination information,Biology,Area4,
3,review revise filing system document base new instrument aaccup strongly suggest,Biology,Area5,
3,increase much possible participation student alumnus government representative planning research agenda,Biology,Area5,
3,increase number faculty member engage conduct research line area specialization,Biology,Area5,
3,enhancement college science research center must give attention research culture could establish,Biology,Area5,
3,provide flexible research incentive among faculty member especially involve research,Biology,Area5,
3,verification signatory document must give attention,Biology,Area5,
3,formulation clearcut policy provide specific sanction violate say policy ipr advise,Biology,Area5,
3,development committee oversee development production instructional material consider,Biology,Area5,
3,form information dissemination research output must give attention abstract also publish school paper ensure large scope circulation also suggest brochure flyer every research undertaking require,Biology,Area5,
4,research operation manual need revisit address recent development university along governance thrust administration,Biology,Area5,
4,suggest science technology journal publish regularly avenue dissemination research output faculty student,Biology,Area5,
4,recommend piece evidence provide show research output publish refereed journal nationalinternational circulation,Biology,Area5,
4,administration consider allocation fund support student research activity fund warrant,Biology,Area5,
4,technology knowledge generate research undertaking package transfer intend clientele beneficiary,Biology,Area5,
4,departmentprogram survey revisit research agenda make comprehensive include detail name researcher period study budget schedule implementation,Biology,Area5,
4,need revisit exist faculty development program encompass holistic development faculty far design capture longrange plan relate enhancement research capability faculty,Biology,Area5,
4,mature technology generate research activity potential commercialization consider,Biology,Area5,
4,document duly sign concerned authority,Biology,Area5,
3,department biology comply guideline define university manual operation extension familiarization reorientation guideline conduct,Biology,Area6,
3,design extension program project base need problem adopt community need problem assessment survey conduct result utilized baseline information design program project,Biology,Area6,
3,continuous regular monitoring evaluation extension project undertaken system monitoring evaluation extension project devise appropriate instrument monitoring evaluation developed,Biology,Area6,
3,faculty member department biology actively participate extension community involvement project related activity,Biology,Area6,
3,adopt community actively participate planning implementation monitoring evaluation extension project,Biology,Area6,
3,department biology endeavor generate additional fund extension program project,Biology,Area6,
3,wider dissemination extension program project make,Biology,Area6,
3,systematic continuous documentation extension program project related activity pursue vigorously,Biology,Area6,
4,present adequate update proof show student participate planning organization extension program implement department,Biology,Area6,
4,propose study determine impact extension program enhancement quality life clientele maybe implement soonest possible time administer preassessment quality life clientele along social economic professional among others b implement extension program clientele c monitoring evaluate conduct extension program status beneficiary analyze interpret result monitoring evaluation extension program order address issue concern improvement extension program implement e administer postassessment quality life clientele three five year implementation say extension program f treat statistically result two assessment determine change quality life clientele indicates impact extension program implement success story could also sought clientele validate result impact study,Biology,Area6,
4,suggest budget allocation extension program college specify expense incur along expert service human resource transportation supply material incidental expense work financial plan extension activity could source information matrix construct purpose,Biology,Area6,
4,present enough piece evidence illustrate budget extension program program survey utilized plan,Biology,Area6,
4,recommend adequate update document present indicate result monitoring evaluation different extension program project activity utilized input replanning future extension activity implement program survey,Biology,Area6,
4,program survey consider present adequate update document support benchmark statement aaccup instrument far document cover rating period make sure document duly sign authority concerned,Biology,Area6,
4,administration college art science revisit faculty development program make functional holistic design longrange program enhance extension capability competence faculty member,Biology,Area6,
4,present enough document show full active participation community monitoring evaluation extension program,Biology,Area6,
3,adaptation integrate library system facilitate organization faster access library collection,Biology,Area7,
3,continue program staff development,Biology,Area7,
3,improve ventilation reading area especially summer month,Biology,Area7,
3,possible feasible install air conditioning unit area rare exhibit collection displayed prevent rapid deterioration material,Biology,Area7,
4,suggest director library implement activation personal data clientele system management acquire security antenna make integrate library system functional,Biology,Area7,
4,suggest furniture shelf refurbish enliven area aesthetic reason,Biology,Area7,
4,necessary library director acquire follow efficiency adequacy service filipiniana book b airconditioning unit,Biology,Area7,
4,also recommend collection old edition book weed regularly make relevant trend time addition sustain purchase professional book late edition adequacy research work,Biology,Area7,
4,encoder resource integrate library system focus task able encode available resource easy retrieval material stakeholder,Biology,Area7,
4,keep add best practice enhance teachinglearning process,Biology,Area7,
3,installation ceiling fan din hall mansion necessity,Biology,Area8,
3,student cafeteria provide facility increase number client,Biology,Area8,
3,budgetary allotment permit dbm policy relaxed personnel hire medical dental clinic laboratory,Biology,Area8,
3,fund become available cubicle counsel guidance office construct,Biology,Area8,
3,box contain various material different area label facilitate identification area consequently save time accreditors local task force,Biology,Area8,
3,toilet provide facility disabled student,Biology,Area8,
4,certificate building occupancy dpwh secure post every building,Biology,Area8,
4,budget warrant major repair roof ceiling teatro ilocandia one landmark mmsu consider,Biology,Area8,
4,periodic pest control inspection facility university,Biology,Area8,
4,budget warrant provision spacious student center lounge equip facility need student consider,Biology,Area8,
4,construction spacious ventilate screen door window satellite canteen cafeteria cafsd consider fund available,Biology,Area8,
4,railing comfort room person disability pwds instal,Biology,Area8,
4,mechanism monitor cleanliness orderliness comfort room give due importance,Biology,Area8,
4,fund available stateoftheart classroom instal interactive board multimedia equipment consider college,Biology,Area8,
3,separate hazardous chemical commonly one separate storage room acid material produce fume,Biology,Area9,
3,place microscope cabinet preferably airconditioned room away chemical,Biology,Area9,
3,repaint laboratory room,Biology,Area9,
3,repair laboratory sink cabinet drawer soon possible likewise immediate repair equipment important,Biology,Area9,
3,provide biology student individual locker keep laboratory material material need study,Biology,Area9,
3,provide thesis student separate area research activity,Biology,Area9,
3,hire additional laboratory technician,Biology,Area9,
3,provide shower area laboratory room,Biology,Area9,
3,treat chemical waste properly disposal,Biology,Area9,
3,maintain cleanliness orderliness laboratory,Biology,Area9,
3,put fire extinguisher proper place,Biology,Area9,
3,laboratory manual subject also available preparation room,Biology,Area9,
3,separate roomoffice near stockroom provide laboratory technician avoid much exposure chemical,Biology,Area9,
3,administration float idea give hazard pay personnel expose various toxic material conduct research,Biology,Area9,
3,procure additional laboratory facility equipment need genetics histotechnique cell biology molecular biology biotechnology class,Biology,Area9,
4,unserviceable equipment still kept laboratory room need dispose maximize area,Biology,Area9,
4,calibration equipment skilled technician dost supplier specific equipment not_available,Biology,Area9,
4,inventory laboratory equipment not_properly document date inventory conduct conduct no_signature,Biology,Area9,
4,shower washer room immediately instal make available time emergency,Biology,Area9,
4,put signage directs location laboratory facility installation label equipment aside glue property sticker proper identification,Biology,Area9,
2,understand level degree acceptability stakeholder determine study conduct,CeramicEngineering,Area1,
2,effectiveness attract enrolees determine know conduct study influence goal objective college program respectively,CeramicEngineering,Area1,
2,depth strength influence mmsus life graduate determine study conduct mmsu graduate work habit activity workplace,CeramicEngineering,Area1,
2,make attractive dissemination take new form song jingle poem cartoon play puppetry strategy enhance retention,CeramicEngineering,Area1,
2,mission mmsu visit make reflect legal educational mandate spell pd,CeramicEngineering,Area1,
3,aggressive strategy wider participation formulation implementation evaluation explore articulate demonstrate congruence program desire outcome,CeramicEngineering,Area1,
3,vision mission state university level goal college level objective program level,CeramicEngineering,Area1,
3,visible wider circulation state art medium technology could explore evaluate,CeramicEngineering,Area1,
2,team highly recommends faculty counterpart attach onlu pertinent support document order comprehensive wellpackaged documentation,CeramicEngineering,Area10,
2,student not_be neglect policy planning activity instution college specifically policy directly affect,CeramicEngineering,Area10,
2,filing document record management office wellorganized systematic order could easily found retrieve need,CeramicEngineering,Area10,
2,maintain standard institution team recommends different specific guideline policy strictly observe implement monitores realize,CeramicEngineering,Area10,
2,budget allows team recommends college provide qualify fulltime laboratory technician custodian manage maintain equipment,CeramicEngineering,Area10,
2,short longterm development plan monitor evaluate,CeramicEngineering,Area10,
2,varied social activity regularly strengthen harmonious work relationship mmsu family,CeramicEngineering,Area10,
2,college must provide specific budget allocation operation,CeramicEngineering,Area10,
2,faculty honorarium excess teach load include budget preparation could release time,CeramicEngineering,Area10,
3,approval operation manual board regent publication necessary,CeramicEngineering,Area10,
3,make record management college fully functional,CeramicEngineering,Area10,
3,encouragement motivation depertment implement income generate project undertaken add income college,CeramicEngineering,Area10,
3,increase participation student planning decisionmaking activity college also encourage,CeramicEngineering,Area10,
3,proper filing system strictly implement reduce waste time effort material expense encourage,CeramicEngineering,Area10,
2,combine class fifty student per class two section meet ched facultystudent ratio requirement could,CeramicEngineering,Area2,
2,review provision faculty work load assignment recommend amendment faculty member administrative official conform,CeramicEngineering,Area2,
2,advice faculty handle core major course finish master degree qualify obtain minimum requirement permanent status,CeramicEngineering,Area2,
2,encourage faculty involve far research extension also production activity deloading fulltime equivalent provide honorarium,CeramicEngineering,Area2,
2,increase size faculty room give ample space faculty basic task duty comfortably,CeramicEngineering,Area2,
2,device monitoring system college ensure punctuality faculty attend class university activity,CeramicEngineering,Area2,
2,additional classroom provide eliminate conflict schedule among faculty ensure prompt performance duty,CeramicEngineering,Area2,
2,dialogue among faculty member dent administrator initiate create atmosphere open communication able establish prosper harmonious relationship among universitity stakeholder,CeramicEngineering,Area2,
3,substitution mechanism fill leaf absence vacancy occur school year avoid interruption class suggest,CeramicEngineering,Area2,
3,clear definite policy fairly compensate faculty member conduct research extension establish,CeramicEngineering,Area2,
3,observance exist guideline teach load number preparation faculty member give way quality instruction related task recommend,CeramicEngineering,Area2,
3,list reference review include book recent edition currently available library,CeramicEngineering,Area2,
3,production material quality instruction evaluate ims committee want,CeramicEngineering,Area2,
3,effective utilization time schedule assignment research extension consultation must incorporate teacher program,CeramicEngineering,Area2,
3,maintain sustainable faculty development program suggest budget allocation increase,CeramicEngineering,Area2,
2,need encourage faculty get involve production instructional material,CeramicEngineering,Area3,
2,tracer study employability graduate worth conduct serve feedback mechanism enhancement improvement curriculum,CeramicEngineering,Area3,
2,center development highly recommend book recent edition field ceramic engineering purchase,CeramicEngineering,Area3,
3,recommend award scheme implement administration motivate faculty member prepare submit material evaluation imc instructional material,CeramicEngineering,Area3,
3,instructional material prepared faculty member review recommend university instructional material committee classroom,CeramicEngineering,Area3,
3,sustain passion faculty member conduct research presentation publication give incentive deloading,CeramicEngineering,Area3,
3,conduct career guidance incoming first year student know ceramic engineering program college administration employ strategy entice incoming first year student enroll program,CeramicEngineering,Area3,
3,increase retention rate ceramic engineering student conduct remedial review class ceramic student organization officer member,CeramicEngineering,Area3,
3,improve graduation rate student implement effective strategy enhance performance,CeramicEngineering,Area3,
3,mechanism employ determine employability graduate ceramic engineering graduate make effective,CeramicEngineering,Area3,
3,documentation feedback employer ceramic engineering graduate direct supervisor onthejob training student make effective,CeramicEngineering,Area3,
3,issuance college department policy recommend require faculty member submit begin semester course syllabus subject taught term compilation office dean dept chair,CeramicEngineering,Area3,
3,faculty member department whose program not_subjected accreditation join local accreditation task force program subject accreditation faculty member handle one area output performance,CeramicEngineering,Area3,
3,student requirement submit subject teacher quiz term examination long quiz tos requirement compile college secretary department chair ready reference accreditation purpose,CeramicEngineering,Area3,
3,documentation techniquesstrategies enrich instructionlearning shall properly undertaken kept,CeramicEngineering,Area3,
3,observation class regularly undertaken department chairdean observation form properly accomplish file dean office future accreditation purpose,CeramicEngineering,Area3,
3,strengthen collegeacademic unit consortium linkage learn institution academe exchange instructional material recommend,CeramicEngineering,Area3,
3,documentation varied evaluation measure department shall regularly properly undertaken,CeramicEngineering,Area3,
3,document file accreditation document must properly sign,CeramicEngineering,Area3,
3,unnecessary document file parameter state weed,CeramicEngineering,Area3,
2,educational occupational social information provide student,CeramicEngineering,Area4,
2,additional guidance counselor desanatcd mong faculty member cater need student,CeramicEngineering,Area4,
2,evaluation cocurricular ar indertaken extracurricular activity undertaken determine strength weakness program,CeramicEngineering,Area4,
2,documentation student activity highly recommend,CeramicEngineering,Area4,
2,picture label properly indicate name activit date person involve activity,CeramicEngineering,Area4,
2,document file folder classify label properly,CeramicEngineering,Area4,
3,staff faculty member man different student service consider conduct regular monitoring evaluation respective assignment also disseminate result monitoring evaluation decision make policy formulationrevision,CeramicEngineering,Area4,
3,result evaluation monitoring different activity student service collate analyze come research manuscript result could input decisionmaking policy formulationrevision,CeramicEngineering,Area4,
3,monitoring evaluation instrument student service also revise regularly subject validation reliability gather generate valid reliable result,CeramicEngineering,Area4,
3,research agenda program survey include research student affair,CeramicEngineering,Area4,
3,budget research student affair allocate,CeramicEngineering,Area4,
3,administration allocate fund student publication college level,CeramicEngineering,Area4,
3,administration allocation fund renovation proper maintenance university theater,CeramicEngineering,Area4,
3,separate fully equip guidance office university put,CeramicEngineering,Area4,
3,manual enrolment procedure university change electronic data processing system online service expedite processing consider population size,CeramicEngineering,Area4,
3,transportation alternative ikot jeep consider allow accessibility among student move one building another minimize expenditure,CeramicEngineering,Area4,
3,conduct microbial analysis eat utensil canteen university propose safety sanitation,CeramicEngineering,Area4,
3,data dropout rate transferee shifter analyze per recommendation accreditor first survey visit,CeramicEngineering,Area4,
3,drinking fountain provide student ready potable water instal per recommendation accreditor first visit,CeramicEngineering,Area4,
3,university hire license guidance counselor comply ched aaccup minimum requirement,CeramicEngineering,Area4,
2,encourage faculty member involve individual team research develop passion culture,CeramicEngineering,Area5,
2,technology generate research submit patent copyright commercialize generate income college,CeramicEngineering,Area5,
2,encourage faculty member conduct action research improve content delivery teachinglearning process,CeramicEngineering,Area5,
2,encourage research output utilized extension instruction institutional development college,CeramicEngineering,Area5,
3,encourage faculty student researcher present finding various medium outlet,CeramicEngineering,Area5,
3,faculty member program survey consider develop instructional material copyright,CeramicEngineering,Area5,
3,encourage stakeholder beneficiary research output attend consultative meeting formulation research agenda,CeramicEngineering,Area5,
2,student body include participate planning process community extension program,CeramicEngineering,Area6,
